,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards_Won,Awards_Nominated,PrimeAwards_Won,OscarAwards_Won,OscarAwards_Nominations,GoldenGlobeAwards_Won,GoldenGlobeAwards_Nominations,PrimeAwards_Nominations,BaftaAwards_Won,BaftaAwards_Nominations,Awards Won Or Nominated
0,0,91 min,movie,0,79.0,tt0156376,0,0,0,0,0,0,0,0,0,0,0
1,0,347 min,movie,0,34.0,tt0201374,0,0,0,0,0,0,0,0,0,0,0
2,0,0,movie,0,8.0,tt0207989,0,0,0,0,0,0,0,0,0,0,0
3,1 win & 2 nominations.,112 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM1MjdiYzYtMmIwNy00ZTBjLTljNWQtZmU3MjJjNjdkNzhiXkEyXkFqcGdeQXVyMjUyMTE3MTc@._V1_SX300.jpg,189.0,tt0210930,1,2,0,0,0,0,0,0,0,0,3
4,1 win.,100 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA0NjA2NzM2N15BMl5BanBnXkFtZTcwNDYyMDIyMQ@@._V1_SX300.jpg,603.0,tt0212513,1,0,0,0,0,0,0,0,0,0,1
5,1 nomination.,91 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA3MTQ1Nzk4NF5BMl5BanBnXkFtZTcwNjg3NTc0MQ@@._V1_SX300.jpg,881.0,tt0235280,0,1,0,0,0,0,0,0,0,0,1
6,3 wins & 2 nominations.,103 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxOTAzNDQzMl5BMl5BanBnXkFtZTcwOTkzMjcyMQ@@._V1_SX300.jpg,1715.0,tt0240149,3,2,0,0,0,0,0,0,0,0,5
7,1 win & 1 nomination.,85 min,movie,http://ia.media-imdb.com/images/M/MV5BOGI4MmIwZTUtMGRlNy00OThkLWFjODQtODNmOTFkMGYyNDI4XkEyXkFqcGdeQXVyNTEwMjYxOTM@._V1_SX300.jpg,466.0,tt0243904,1,1,0,0,0,0,0,0,0,0,2
8,0,108 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk5MTQ0NjQ0OF5BMl5BanBnXkFtZTcwNDUwNDMyMQ@@._V1_SX300.jpg,3253.0,tt0245407,0,0,0,0,0,0,0,0,0,0,0
9,0,0,movie,0,63.0,tt0245932,0,0,0,0,0,0,0,0,0,0,0
10,0,0,game,0,62.0,tt0246902,0,0,0,0,0,0,0,0,0,0,0
11,5 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1NTYyMjI0MF5BMl5BanBnXkFtZTYwMTM4Mzc3._V1_SX300.jpg,21612.0,tt0250224,0,5,0,0,0,0,0,0,0,0,5
12,0,91 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5ODA3MDExMl5BMl5BanBnXkFtZTcwODEwODgyMQ@@._V1_SX300.jpg,96.0,tt0251042,0,0,0,0,0,0,0,0,0,0,0
13,2 wins & 5 nominations.,115 min,movie,http://ia.media-imdb.com/images/M/MV5BMzY1NjM2NDk4N15BMl5BanBnXkFtZTYwNzg2MTc5._V1_SX300.jpg,7412.0,tt0254099,2,5,0,0,0,0,0,0,0,0,7
14,0,0,series,0,10.0,tt0257306,0,0,0,0,0,0,0,0,0,0,0
15,Nominated for 1 Oscar. Another 13 wins & 13 nominations.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NTUxNTE3Nl5BMl5BanBnXkFtZTYwNTczMTg5._V1_SX300.jpg,24178.0,tt0258068,13,13,0,0,1,0,0,0,0,0,26
16,0,60 min,series,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNjAxNDcxOF5BMl5BanBnXkFtZTcwNzQwMjYxMQ@@._V1_SX300.jpg,133.0,tt0260596,0,0,0,0,0,0,0,0,0,0,0
17,0,0,movie,0,0.0,tt0261507,0,0,0,0,0,0,0,0,0,0,0
18,5 wins & 4 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNTgzYjAzMjgtODU2Ni00Y2I5LThlZWYtZTNhOGJlYTk1YjZjXkEyXkFqcGdeQXVyNDUzNzExOTE@._V1_SX300.jpg,119.0,tt0263017,5,4,0,0,0,0,0,0,0,0,9
19,0,96 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NjkwOTU3MF5BMl5BanBnXkFtZTYwNjg3MTg5._V1_SX300.jpg,1497.0,tt0264333,0,0,0,0,0,0,0,0,0,0,0
20,0,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MDA4MDM3MV5BMl5BanBnXkFtZTcwNjc1MzEyMQ@@._V1_SX300.jpg,269.0,tt0267693,0,0,0,0,0,0,0,0,0,0,0
21,0,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzI2Mzg0NV5BMl5BanBnXkFtZTcwNzU2NzgxMQ@@._V1_SX300.jpg,415.0,tt0270645,0,0,0,0,0,0,0,0,0,0,0
22,0,30 min,series,http://ia.media-imdb.com/images/M/MV5BMzU0ZjQyNzUtZDhiYy00NDc2LWI3YjYtNjQ1ZTQ0YTdiODhkXkEyXkFqcGdeQXVyMTgyMzEyNDY@._V1_SX300.jpg,98.0,tt0271275,0,0,0,0,0,0,0,0,0,0,0
23,0,0,series,0,14.0,tt0271896,0,0,0,0,0,0,0,0,0,0,0
24,Nominated for 1 Golden Globe. Another 14 wins & 34 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMDY2MDU2YjEtMTRiZi00NGQ2LTlkODgtZmQ0ZjhlMTgxNGY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,112174.0,tt0272338,14,34,0,0,0,0,1,0,0,0,48
25,3 wins & 2 nominations.,88 min,movie,0,37.0,tt0274768,3,2,0,0,0,0,0,0,0,0,5
26,0,8 min,movie,0,31.0,tt0275458,0,0,0,0,0,0,0,0,0,0,0
27,0,0,series,0,0.0,tt0275823,0,0,0,0,0,0,0,0,0,0,0
28,1 nomination.,0,series,0,0.0,tt0276639,0,1,0,0,0,0,0,0,0,0,1
29,0,100 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NTQzMDgxMF5BMl5BanBnXkFtZTYwMDY2MDg2._V1_SX300.jpg,300.0,tt0277622,0,0,0,0,0,0,0,0,0,0,0
30,0,60 min,series,0,36.0,tt0279613,0,0,0,0,0,0,0,0,0,0,0
31,5 nominations.,72 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BYWMwMWQ5NWQtYTA1YS00OTQ5LWExZmItNGI5MzIyMWRhNDA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,13609.0,tt0280030,0,5,0,0,0,0,0,0,0,0,5
32,0,29 min,series,0,0.0,tt0280228,0,0,0,0,0,0,0,0,0,0,0
33,0,60 min,series,http://ia.media-imdb.com/images/M/MV5BY2Q3ZmJhMWUtOTQ5OC00MjA2LWExMjQtYzEzN2VlMjY0YTU3XkEyXkFqcGdeQXVyMjE5MjEyNjM@._V1_SX300.jpg,71.0,tt0280229,0,0,0,0,0,0,0,0,0,0,0
34,1 win & 2 nominations.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4OTYwODUyN15BMl5BanBnXkFtZTYwMDUzMTQ3._V1_SX300.jpg,8043.0,tt0280477,1,2,0,0,0,0,0,0,0,0,3
35,0,60 min,movie,0,9.0,tt0280872,0,0,0,0,0,0,0,0,0,0,0
36,0,90 min,movie,0,0.0,tt0281178,0,0,0,0,0,0,0,0,0,0,0
37,22 wins & 44 nominations.,30 min,series,http://ia.media-imdb.com/images/M/MV5BMGRhN2ZlNDktOWY0My00NjY2LThiMTItYjc5MDdhMTdiNWM3XkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,377.0,tt0281447,22,44,0,0,0,0,0,0,0,0,66
38,1 win & 3 nominations.,111 min,movie,http://ia.media-imdb.com/images/M/MV5BMDA2NTgxN2QtMGU5MC00Yjk5LThhYzctZDEwMjM3ZDI0NTljXkEyXkFqcGdeQXVyMzExOTYyMDg@._V1_SX300.jpg,381.0,tt0281954,1,3,0,0,0,0,0,0,0,0,4
39,1 win & 8 nominations.,96 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTg1NjYwMDcyM15BMl5BanBnXkFtZTcwNjE1NDMyMQ@@._V1_SX300.jpg,2151.0,tt0282171,1,8,0,0,0,0,0,0,0,0,9
40,0,0,series,0,10.0,tt0282281,0,0,0,0,0,0,0,0,0,0,0
41,0,30 min,series,0,0.0,tt0282285,0,0,0,0,0,0,0,0,0,0,0
42,0,14 min,movie,0,134.0,tt0282445,0,0,0,0,0,0,0,0,0,0,0
43,2 nominations.,92 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4YjQxYzAtNzAyNy00Zjk1LTk4ZTMtNTUwNTBjMWY1M2IwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,89920.0,tt0283111,0,2,0,0,0,0,0,0,0,0,2
