Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,1,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,2,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,3,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,4,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,5,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data      restaurant perth,Perth,AU,5,1800,0000
