Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,0,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,0,1630,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,1,1630,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,2,1630,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,3,1630,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,4,1630,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,5,1630,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data     bar and restaurant sydney,Sydney,AU,6,1630,0000
