Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,0,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,1,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,2,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,3,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,4,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,5,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,6,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    custom pizzeria braddon,Braddon,AU,6,1730,0000
