Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,0,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,1,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,2,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,3,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data    rokujuni sydney,Sydney,AU,4,1800,2100
