Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,0,1100,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,1,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,2,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,3,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,4,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,5,1100,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data aamaya indian restaurant brisbane,Brisbane,AU,6,1100,2130
