Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,0,0730,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,0,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,1,0730,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,1,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,2,0730,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,2,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,3,0730,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,3,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,4,0730,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,4,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,5,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data alpha restaurant sydney,Sydney,AU,6,1200,2300
