Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,0,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,0,1715,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,1,1715,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,2,1715,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,3,1715,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,4,1715,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,5,1715,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,6,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data balti indian restaurant perth,Perth,AU,6,1715,2230
