Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,0,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,0,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,1,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,1,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,2,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,2,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,3,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,3,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,4,0700,1100
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,4,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data bambini trust cafe and wine room sydney,Sydney,AU,5,1730,2230
