Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,0,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,1,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,2,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,3,1700,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bar     on barrack perth,Perth,AU,4,1700,2000
