Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,0,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,0,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,1,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,2,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,3,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,4,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,4,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bella vista restaurant belconnen,Belconnen,AU,5,1730,2100
