Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,6,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data bon kura dickson,Dickson,AU,6,1700,2300
