Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,1,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,2,0730,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,2,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,3,0730,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,3,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,4,0730,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,4,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,5,0730,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,5,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cecchis inglewood,Inglewood,AU,6,0730,1500
