Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,0,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,0,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,1,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,1,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,2,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,3,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,4,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,5,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data chomolungma nepali cuisine griffith,Griffith,AU,6,1700,2130
