Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,0,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data edosei perth,Perth,AU,5,1730,2200
