Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,4,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,5,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data gami chicken and beer perth,Perth,AU,6,1700,2300
