Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,0,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,0,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,1,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,2,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,3,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,4,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data hako japanese restaurant and bar melbourne,Melbourne,AU,5,1730,2200
