Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,4,1730,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,5,1730,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,6,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ikkoryu fukuoka ramen melbourne,Melbourne,AU,6,1730,2200
