Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,0,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,0,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,1,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,2,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,3,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,4,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data kabuki teppanyaki brisbane brisbane,Brisbane,AU,5,1800,2130
