Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,0,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,0,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,1,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,1,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,2,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,2,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,3,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,3,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,4,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,4,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data kenzan japanese restaurant melbourne,Melbourne,AU,5,1800,2200
