Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,3,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,4,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,5,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,6,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data la tortilleria kensington,Kensington,AU,6,1730,2130
