Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,1,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,1,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,2,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,2,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,3,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,3,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,4,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,4,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,5,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,5,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data morks contemporary thai kingston,Kingston,AU,6,1200,1400
