Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,0,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,1,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,2,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,3,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,4,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,5,0000,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,5,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,6,0000,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data ms gs potts point,Potts Point,AU,6,1300,2100
