Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,0,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,1,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,2,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,3,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,4,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data nomad surry hills,Surry Hills,AU,5,1730,0000
