Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,2,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,3,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,4,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,5,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,6,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data porkies barbque bayswater,Bayswater,AU,6,1730,2030
