Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,0,0900,1700
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,0,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,1,1800,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,2,1800,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,3,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,4,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,5,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data portello rosso tapas and jamon bar melbourne,Melbourne,AU,6,1800,2100
