Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,0,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,5,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,6,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data portias place kingston,Kingston,AU,6,1700,2200
