Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,0,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,1,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,2,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,3,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,4,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,5,1800,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data pub life kitchen ultimo,Ultimo,AU,6,1200,1700
