Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,0,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,0,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,1,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,2,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,3,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,4,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,5,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data punjabi junction belconnen,Belconnen,AU,6,1700,2230
