Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,0,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data rosas canteen melbourne,Melbourne,AU,4,1730,2100
