Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,0,0630,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,0,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,1,0630,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,2,0630,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,3,0630,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,4,0630,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,4,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,5,0730,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,5,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,6,0730,1030
PYTHON  DataAnalysis Python Spring   Assignment   Data scarlett restaurant sydney,Sydney,AU,6,1730,2100
