Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,4,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,5,0800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data searock grill sydney,Sydney,AU,6,0800,2230
