Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,4,1730,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,5,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,5,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,6,0900,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data seasalt dining bruce,Bruce,AU,6,1730,2100
