Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,0,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,1,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,2,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,3,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,4,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data soi   thai on griffith griffith,Griffith,AU,5,1730,2230
