Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,0,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,1,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,2,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,3,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data sparrow indonesian restaurant highgate,Highgate,AU,4,1730,2030
