Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,1,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,2,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,3,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,4,1800,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data swiss club restaurant melbourne,Melbourne,AU,5,1800,0000
