Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,0,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,1,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,2,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,3,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,4,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,5,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,6,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data tea house at china town melbourne,Melbourne,AU,6,1730,2300
