Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,4,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,5,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,5,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,6,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data thai house weston,Weston,AU,6,1730,2200
