Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,1,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,2,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,3,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,4,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,5,1200,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data ganapati london,London,GB,6,1200,2200
