Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,0,1700,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,1,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,2,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,3,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,4,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,5,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,5,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,6,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data roastit bubbly jocks glasgow,Glasgow,GB,6,1700,2100
