Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data roti king london,London,GB,5,1700,2200
