Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,0,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,1,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,2,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,3,1600,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,4,1600,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,5,1600,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,6,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data spice lounge liverpool,Liverpool,GB,6,1600,2300
