Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,0,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,1,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,2,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,3,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,4,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,5,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,5,1830,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,6,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data thali london,London,GB,6,1830,2230
