Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,0,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,0,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,1,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,1,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,2,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,2,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,3,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,3,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,4,1200,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,4,1730,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data cibo auckland,Auckland,NZ,5,1730,2230
