Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,1,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,2,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,3,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,4,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,5,1200,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,5,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data cocoro auckland,Auckland,NZ,6,1200,1400
