Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,1,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,1,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,2,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,3,1630,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,4,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,5,1630,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data ambli denver denver,Denver,US,6,1730,2100
