Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,0,0630,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,0,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,1,0630,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,1,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,2,0630,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,2,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,3,0630,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,3,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,4,0630,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,5,0630,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,5,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data arcadia san jose,San Jose,US,6,0630,1400
