Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,0,0000,1200
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,0,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,1,0000,1200
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,1,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,2,0000,1200
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,2,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,3,0000,1200
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,3,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,4,0000,1200
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,4,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,5,0000,1230
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,5,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,6,0000,1230
PYTHON  DataAnalysis Python Spring   Assignment   Data aria trattoria boston,Boston,US,6,1700,0000
