Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,0,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,0,1530,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,1,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,1,1530,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,2,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,2,1530,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,3,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,3,1530,0100
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,4,1530,0200
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,5,1530,0200
PYTHON  DataAnalysis Python Spring   Assignment   Data avec chicago,Chicago,US,6,1000,0100
