Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,1,1200,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,2,1200,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,3,1200,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,4,1200,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,5,1700,2330
PYTHON  DataAnalysis Python Spring   Assignment   Data awol eatery brooklyn,Brooklyn,US,6,1700,2200
