Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,0,0700,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,0,1100,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,1,0700,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,1,1100,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,2,0700,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,2,1100,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,3,0700,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,3,1100,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,4,0700,1000
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,4,1100,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,5,1100,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data b good boston,Boston,US,6,1100,2100
