Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,0,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,0,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,1,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,1,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,2,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,2,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,3,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,3,1730,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,4,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,4,1730,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data bettola birmingham,Birmingham,US,5,1730,2200
