Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,0,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,0,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,1,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,1,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,2,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,2,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,3,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,3,1800,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,4,1200,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,4,1800,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,5,1200,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data biang new york,New York,US,6,1200,2230
