Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,0,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,1,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,2,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,3,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,4,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,5,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,6,1100,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data blend on the water long island city,Long Island City,US,6,1700,2300
