Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,0,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,0,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,1,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,1,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,2,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,2,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,3,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,3,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,4,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,4,1730,2030
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,5,1100,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data blue pacific at hoover foodmart birmingham,Birmingham,US,5,1730,2030
