Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,1,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,1,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,2,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,2,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,3,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,3,1730,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,4,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,4,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,5,1130,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,5,1730,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data boeufhaus chicago,Chicago,US,6,1730,2300
