Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,0,0700,1300
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,1,0700,1300
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,2,0700,1300
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,3,0700,1300
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,4,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,4,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,5,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,5,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,6,0700,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data bouchon at the venezia tower las vegas,Las Vegas,US,6,1700,2200
