Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,1,1100,1345
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,1,1600,2000
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,2,1100,1345
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,2,1600,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,3,1100,1345
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,3,1600,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,4,1100,1345
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,4,1600,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,5,1600,2130
PYTHON  DataAnalysis Python Spring   Assignment   Data che sara sara seattle,Seattle,US,6,1600,2000
