Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,0,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,0,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,1,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,1,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,2,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,2,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,3,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,3,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,4,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,4,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,5,1130,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data chili and sesame korean kitchen seattle,Seattle,US,5,1700,2100
