Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,0,1130,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,1,1130,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,2,1130,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,3,1130,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,4,1130,1330
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data cockscomb san francisco,San Francisco,US,5,1700,2300
