Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,0,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,1,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,2,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,3,1130,1430
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,4,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,5,1130,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data dak and bop houston,Houston,US,6,1130,1530
