Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,0,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,0,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,1,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,1,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,2,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,2,1700,2100
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,3,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,3,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,4,1000,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,4,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,5,0700,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,5,1700,0000
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,6,0700,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data deluxe eatery and drinkery san jose,San Jose,US,6,1700,2100
