Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,0,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,0,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,1,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,1,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,2,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,2,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,3,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,3,1700,2230
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,4,1200,1530
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,5,1100,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data district saigon astoria,Astoria,US,6,1100,2130
