Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,0,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,1,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,2,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,3,1700,2200
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,4,1130,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,5,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,6,1100,1400
PYTHON  DataAnalysis Python Spring   Assignment   Data estadio washington,Washington,US,6,1700,2100
